"site.id","site.num","lat","long","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","P5","P6","P7","P8","P9","P10","P11","P12"
<<<<<<< HEAD
"06",1,54.83086,111.71303,-0.22290543477469,-0.0742152929335573,-0.223340791556788,-0.0399904997322394,0.039774409871311,-0.083234615164433,-0.248758767031843,-0.0961743498549987,0.00965643025776127,0.279351269854995,0.0508046031474979,-0.26319044507297,0.0552850971054475,-0.00109249478883572,-0.192381380852763,-0.0899829519726251,-0.115042902915325,0.0783072722348451,0.0312281688074836,-0.231246332715866
"07",2,54.84142,111.68275,-0.109984862171032,-0.133325922118062,-0.104813821334806,-0.0342491620542351,0.157197654503893,-0.157808176471285,-0.0187604662763959,-0.0311360570354408,0.0434280695229782,0.380449263181082,0.0228509871131543,-0.258771189752924,0.097387049437771,-0.0385131704733701,-0.218656889178232,-0.229324323453998,-0.163120720091592,0.410291950404711,-0.00388281605382142,-0.258371341197223
"08",3,54.92947,111.54272,0.0133912257262857,-0.0820896756497571,0.0130085953779246,0.0528497727819266,0.0896148847020956,-0.207443068606398,0.0851136361142939,0.104169161883162,0.195872144675609,0.396318412039327,-0.0150575203275132,-0.205208032894768,0.0190155411763415,-0.224560541449995,0.0796214385094984,-0.275666036224157,-0.0527466152792958,0.301893440672395,-0.129433087035452,-0.217470095267749
"09",4,54.83367,111.83833,0.0496262070427324,-0.137663015290459,-0.0704621594557589,-0.00871023814958553,0.145686367098394,-0.261396022379575,0.15472545549862,0.0213564354102561,0.124153393834729,0.376250421299086,0.0826940243179528,-0.177808012839478,0.0618191735766084,0.00354805188704114,0.00677526032069791,-0.244538540887744,-0.167232941145867,0.26252241523236,-0.1771970298526,-0.0858794444340977
"0A",5,55.03378,111.68131,0.0217615319067349,-0.0413084628780634,-0.236095444161118,0.014445839898328,0.137921265167971,0.0237175824797112,0.205576630967142,-0.0839484789816528,0.177081154256778,0.309394371534369,0.0218604282847197,-0.0728759005851493,-0.0545532634695926,0.000184781962775307,0.188685262779111,-0.126891172179143,-0.030483521634427,0.13157486455491,-0.0636033621205232,0.117387210898985
"0B",6,55.05169,111.27083,-0.109238675689086,-0.146883876997323,-0.0912786239691872,0.0540548472690942,0.23746823094604,0.0568583046604241,0.0377231774000953,-0.109345073004989,0.168362253712288,0.463530500500785,0.00978135443946058,-0.206781222198268,0.220821825012744,0.103301853783739,-0.218115228698638,-0.31455195280978,-0.0734905153310254,0.375878282603021,-0.194605303691304,-0.0720307418733797
"0F",7,55.0674,111.81083,0.0337378110289624,-0.0884770455174077,0.195941153996673,0.198103891212706,0.420175658267842,0.153152950940545,0.100162537216024,0.0656114028925086,0.173102575710924,0.526427071418836,0.00726744888846239,-0.16591247894162,0.10012528417427,0.0213291957988275,-0.056697330909744,-0.308021612158821,0.180439991339455,0.498199557720803,-0.157322177993764,-0.05912935327329
"0G",8,55.55811,111.23728,-0.15421225956005,-0.126453942357735,-0.014890502179504,0.0446860744028574,0.154034737750492,-0.218595817719049,0.223891630978051,0.0428333975085063,0.120903980233717,0.415411959973196,-0.021270706451472,-0.288149822219302,-0.157782232863263,-0.135315788863421,-0.0638524077805891,-0.350749007880929,-0.183248205017448,0.290588982448312,-0.154530713385372,-0.112767788681278
"0H",9,55.05505,111.90391,0.11628213035251,-0.0344590531642576,0.0225551277964014,0.207667361863119,0.231963141765612,-0.103779363736333,0.0591591366702103,-0.0529219411760334,0.285076605105521,0.344051904124514,-0.0446902174686429,-0.149086229887362,0.239527435133746,0.0382860952224055,0.138099246592104,-0.122736832887784,-0.0170722455780634,0.360454557346189,-0.114749831803637,-0.0154054953050045
"0Q",10,54.1042,115.74607,0.100674093851453,0.101013422439933,0.268363091356131,0.31184848729157,0.196933328361429,0.177858602178817,0.00345947489563901,0.0842926304354707,0.104661040541037,0.0192439554228364,-0.352676328558545,-0.0643398429343631,0.222102928355089,0.0303784069286243,-0.0147501718007722,0.0669910150390202,0.181396561944576,0.0858982768618569,-0.188581019111924,0.0577090434970845
"0R",11,56.57132,118.74682,0.263818276228499,0.052288868966479,0.129402706695556,0.0697245147177267,0.142302499621499,-0.0102220038531641,-0.142043995139224,-0.0111776979910124,0.0636773084295742,0.144692685430084,-0.212671670578687,0.0808929269164375,-0.00865222246767071,-0.333507508326711,-0.187579226344481,0.145064000913153,0.0647655563518154,0.107364236516411,-0.173775173396828,-0.045945699612889
"0T",12,55.54449,118.74207,0.103267427964852,0.0381228119108995,-0.104211121605042,-0.0448946863644665,-0.233199066297172,0.0427345136428802,0.288122955368389,0.206636642559508,0.277456873878185,-0.232870610627871,0.10081512705686,0.22966517202933,-0.099352179167412,0.0560832186497555,0.211773922008887,-0.126411039769409,0.0350681761921117,-0.074674805449171,0.0281264323438782,0.240289998676019
"0U",13,56.4652,118.31264,0.312920279810947,0.245215558998952,0.209630470684365,0.320142427252921,0.139142505601821,0.11264738677494,0.0272094614654478,0.302913531156374,0.208927365174375,-0.268260631239298,-0.216305851427328,0.203316010215867,0.0515409051843436,-0.00102575606914992,0.0479225868307868,0.159279445952965,0.166974459426278,-0.0645381997238471,-0.0644411916444308,0.124056045159987
"0V",14,55.5985,118.10932,0.32182464691168,0.155421206656877,0.2689921413253,0.233611400368633,0.0503665560184028,0.225300450453887,0.174131724726975,0.328422936788636,-0.0249566289319,-0.353787323889835,-0.0425908253080162,0.0145818628228974,-0.0685530986186546,0.238763399121991,0.206088085455941,0.040288284951169,0.105345594480439,-0.228015231463853,-0.0215894158010819,0.200054578219646
"0X",15,54.32247,115.70438,0.275824816102791,0.180194639708936,0.351339928128925,0.399493177985069,0.279513509862175,0.104909360958145,0.168181389389239,0.289736364405867,0.185580213532921,-0.113718424499357,-0.0455562903196959,0.161239501902261,0.263005754282422,0.208389374658509,0.271041209736918,-0.140825462841633,0.252540658512895,0.112236768052474,-0.259565222054595,0.340687201924373
"0Y",16,54.4762,116.78887,-0.129964497680626,-0.164682120824976,-0.059899134626858,-0.120621378281654,0.0183303681962129,-0.227487960535198,-0.229010986769249,-0.043136763866127,-0.100850207907319,0.320441650046647,-0.181482527454032,-0.178312853669249,-0.0402617187583912,-0.105694394907102,-0.231478452736306,-0.0816870983954762,-0.160986494307581,0.161697787536866,-0.120615153265213,-0.259694929212883
"0Z",17,53.04467,115.01394,-0.0905195565131379,0.0912653282606391,0.0922819490978298,0.316837239335723,0.0458907657121725,0.377549199792921,-0.0166899760171063,0.0749029098545005,0.219358047260421,-0.015057501290719,0.351028742922877,-0.0451553404764833,-0.0699803945857945,0.211442366860471,0.0727158391979301,0.162355457124564,0.439514669761634,0.116435570490246,0.225134047882105,0.272686773450196
"AA",18,55.72825,110.98185,-0.207143889510678,-0.203083874050348,-0.111008960103728,0.0728217666075194,0.204287793480912,-0.184789076006537,0.135763821667249,0.062759832944132,0.201328103877032,0.267496052247099,0.031853458909173,-0.151912955345752,-0.127913954410564,-0.0817324815231008,-0.0170630242107098,-0.30591814730987,0.0367383975359698,0.273372724476014,-0.123970344504564,-0.0681358720092626
"CC",19,55.81953,115.21168,-0.0959880101822139,-0.0493454679292313,0.163117157088714,0.20543872607171,0.480920442677981,0.210703057991711,-0.065843057044679,0.128957764039522,0.0870082757541492,0.27590127938842,-0.223143310771031,-0.177254867111097,0.211967296763305,0.117759691491218,-0.301859261310652,-0.211076033325773,0.0415153040860604,0.0984629917397755,-0.231842361844085,-0.0472615001911111
"DD",20,56.8031,115.2583,0.0325633394034624,-0.101402542544259,0.0814150820442174,0.151500998138986,0.219669165101687,-0.023102393456289,-0.0119648032269088,0.156275139062207,0.138661790652915,0.277666807456495,-0.0577853071613297,-0.263308627027964,-0.0336654997421667,-0.0898525937462597,-0.25758411962355,-0.36081526162986,0.0545007883171132,0.278610057613953,-0.0699777793485137,-0.20181241079698
